fp_spool,fp_odoo
efectivo,Efectivo
efectivo,Efectivo Bs
cheques,Banco
tarj_debito,tarj_debito
tarj_credito,tarj_credito
trans_bs,Tranf en Bs
trans_usd,Transf en USD
trans_euro,Transf en EURO
efectivo_usd,Efectivo USD
efectivo_euro,efectivo_euro
pago_movil,Pago Movil
credito,Credito
zelle,zelle
